Size,Time(ms)
500,0.0852752
600,0.0937248
700,0.149758
800,0.159858
900,0.1709
1000,0.177883
1100,0.188167
1200,0.195925
1300,0.220842
1400,0.312817
1500,0.326233
1600,0.336767
1700,0.347233
1800,0.361617
1900,0.371242
2000,0.3799
2100,0.387642
2200,0.400883
2300,0.429767
2400,0.42015
2500,0.42655
2600,0.468117
2700,0.562541
2800,0.651408
2900,0.676217
3000,0.684592
3100,0.691159
3200,0.716125
3300,0.727633
3400,0.727733
3500,0.740508
3600,0.746342
3700,0.7625
3800,0.773267
3900,0.790583
4000,0.79175
4100,0.803517
4200,0.8146
4300,0.834842
4400,0.842792
4500,0.851033
4600,0.852992
4700,0.86545
4800,0.878333
4900,0.889908
5000,0.899933
5100,0.913042
5200,0.986333
5300,1.12778
5400,1.20235
5500,1.2762
5600,1.36412
5700,1.39881
5800,1.44254
5900,1.47482
6000,1.41968
6100,1.42895
6200,1.44437
6300,1.47545
6400,1.46683
6500,1.48454
6600,1.52311
6700,1.51407
6800,1.53514
6900,1.53947
7000,1.54635
7100,1.55283
7200,1.56432
7300,1.57832
7400,1.59542
7500,1.61231
7600,1.61547
7700,1.63387
7800,1.63298
7900,1.64145
8000,1.66617
8100,1.67473
8200,1.68304
8300,1.69507
8400,1.70529
8500,1.72368
8600,1.74297
8700,1.74817
8800,1.76304
8900,1.77441
9000,1.77691
9100,1.79548
9200,1.7933
9300,1.81101
9400,1.82038
9500,1.84115
9600,1.84795
9700,1.85988
9800,1.87643
9900,1.89018
10000,1.89908
