Size,Time(ms)
500,0.148375
600,0.162959
700,0.219392
800,0.282225
900,0.296417
1000,0.310175
1100,0.324342
1200,0.340817
1300,0.36905
1400,0.459791
1500,0.548733
1600,0.600958
1700,0.607833
1800,0.63075
1900,0.640167
2000,0.667217
2100,0.714375
2200,0.682167
2300,0.704275
2400,0.716925
2500,0.730408
2600,0.784675
2700,0.875667
2800,0.964683
2900,1.05436
3000,1.13942
3100,1.20616
3200,1.22548
3300,1.25978
3400,1.27007
3500,1.31546
3600,1.30097
3700,1.32089
3800,1.33492
3900,1.43836
4000,1.37173
4100,1.37222
4200,1.405
4300,1.41273
4400,1.42624
4500,1.46738
4600,1.47256
4700,1.49727
4800,1.52853
4900,1.5733
5000,1.52698
5100,1.55432
5200,1.64681
5300,1.74178
5400,1.83031
5500,1.91326
5600,2.03829
5700,2.11148
5800,2.20967
5900,2.28499
6000,2.36234
6100,2.43411
6200,2.55894
6300,2.58252
6400,2.55864
6500,2.59372
6600,2.59898
6700,2.63458
6800,2.62617
6900,2.63371
7000,2.65613
7100,2.67331
7200,2.69124
7300,2.71526
7400,2.77151
7500,6.002
7600,3.4922
7700,2.78453
7800,2.79791
7900,2.79913
8000,2.82765
8100,2.82879
8200,2.90892
8300,2.98034
8400,2.9227
8500,2.93846
8600,2.95094
8700,2.95976
8800,2.99041
8900,3.01254
9000,3.03552
9100,3.04653
9200,3.07043
9300,3.09602
9400,3.11178
9500,3.13175
9600,3.14283
9700,3.17268
9800,3.18405
9900,3.19001
10000,3.21023
