Size,Time(ms)
500,0.126608
600,0.1411
700,0.187408
800,0.244258
900,0.252283
1000,0.262475
1100,0.273917
1200,0.284367
1300,0.305608
1400,0.388608
1500,0.469883
1600,0.508409
1700,0.517084
1800,0.531325
1900,0.540742
2000,0.558017
2100,0.569133
2200,0.570342
2300,0.579067
2400,0.587642
2500,0.59815
2600,0.63735
2700,0.726992
2800,0.805683
2900,0.891517
3000,0.968308
3100,1.02198
3200,1.04302
3300,1.06301
3400,1.06884
3500,1.08929
3600,1.08188
3700,1.09948
3800,1.11211
3900,1.13242
4000,1.12288
4100,1.12915
4200,1.15197
4300,1.16257
4400,1.17572
4500,1.20528
4600,1.22838
4700,1.21842
4800,1.24963
4900,1.25777
5000,1.23347
5100,1.26065
5200,1.33159
5300,1.41427
5400,1.50486
5500,1.58562
5600,1.68932
5700,1.76203
5800,1.84663
5900,1.92189
6000,1.99094
6100,2.06621
6200,2.14494
6300,2.17808
6400,2.15219
6500,2.19763
6600,2.18759
6700,2.19224
6800,2.19967
6900,2.20104
7000,2.21023
7100,2.25474
7200,2.24398
7300,2.25789
7400,2.55382
7500,6.38902
7600,2.72339
7700,2.33282
7800,2.33617
7900,2.33258
8000,2.35656
8100,2.33872
8200,2.39328
8300,2.42322
8400,2.38058
8500,2.41712
8600,2.43182
8700,2.41216
8800,2.436
8900,2.44884
9000,2.46647
9100,2.47598
9200,2.48487
9300,2.50498
9400,2.51829
9500,2.53043
9600,2.56019
9700,2.57599
9800,2.56433
9900,2.56965
10000,2.57981
