Size,Time(ms)
500,0.407008
600,0.485959
700,0.568484
800,0.657983
900,0.743217
1000,0.792108
1100,0.888092
1200,0.972775
1300,1.03992
1400,1.11334
1500,1.17411
1600,1.26844
1700,1.34546
1800,1.47438
1900,1.54078
2000,1.59657
2100,1.67609
2200,1.79037
2300,1.85611
2400,1.93163
2500,2.00792
2600,2.07924
2700,2.15606
2800,2.24382
2900,2.34617
3000,2.40886
3100,2.47548
3200,2.55425
3300,2.66635
3400,2.75108
3500,2.84106
3600,2.91226
3700,3.07643
3800,3.07549
3900,3.19072
4000,3.25985
4100,3.3495
4200,3.45249
4300,3.5227
4400,3.61833
4500,3.65903
4600,3.77938
4700,3.79829
4800,3.85215
4900,3.97582
5000,4.15844
5100,4.12988
5200,4.22095
5300,4.31792
5400,4.43681
5500,4.45995
5600,4.60864
5700,4.69012
5800,4.81051
5900,4.75863
6000,4.84978
6100,4.92542
6200,5.06961
6300,5.16577
6400,5.19593
6500,5.26769
6600,5.31846
6700,5.41524
6800,5.50294
6900,5.57847
7000,5.68826
7100,5.7467
7200,5.81492
7300,5.91117
7400,5.98305
7500,6.12081
7600,6.15527
7700,6.22698
7800,6.30197
7900,6.4917
8000,6.53677
8100,6.52146
8200,6.59718
8300,6.75817
8400,6.80987
8500,6.87389
8600,6.8943
8700,7.02568
8800,7.14617
8900,7.26238
9000,7.28725
9100,7.39947
9200,7.50867
9300,7.62833
9400,7.73214
9500,7.7706
9600,7.86155
9700,8.01417
9800,7.98496
9900,8.09742
10000,8.13433
