Size,Time(ms)
500,0.426608
600,0.505583
700,0.592008
800,0.685167
900,0.794467
1000,0.846075
1100,0.917534
1200,1.01408
1300,1.10341
1400,1.19527
1500,1.23083
1600,1.32757
1700,1.40692
1800,1.51191
1900,1.588
2000,1.68679
2100,1.76007
2200,1.86626
2300,1.96136
2400,2.02722
2500,2.1101
2600,2.17984
2700,2.26658
2800,2.35894
2900,2.44397
3000,2.53561
3100,2.61107
3200,2.69168
3300,2.77688
3400,2.96562
3500,3.00023
3600,3.11403
3700,3.20947
3800,3.28395
3900,3.37348
4000,3.43744
4100,3.55921
4200,3.65443
4300,3.72082
4400,3.7993
4500,3.86802
4600,3.97745
4700,4.02377
4800,4.07792
4900,4.20981
5000,4.37378
5100,4.37412
5200,4.45556
5300,4.57773
5400,4.71052
5500,4.71521
5600,4.82943
5700,4.96426
5800,5.12464
5900,5.05403
6000,5.11675
6100,5.18823
6200,5.34073
6300,5.48179
6400,5.5122
6500,5.57853
6600,5.66233
6700,5.72563
6800,5.83652
6900,5.90483
7000,6.072
7100,6.09297
7200,6.18087
7300,6.24972
7400,6.33941
7500,6.46611
7600,6.50595
7700,6.60708
7800,6.71016
7900,6.87112
8000,7.02613
8100,6.93862
8200,7.033
8300,7.15272
8400,7.20032
8500,7.32163
8600,7.3311
8700,7.47602
8800,7.57908
8900,7.77122
9000,7.73343
9100,7.85586
9200,7.96473
9300,8.08599
9400,8.18329
9500,8.24198
9600,8.33756
9700,8.44205
9800,8.48145
9900,8.59612
10000,8.65002
